Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Titan,Neo Analog Silver Dial Men's Watch NM1734WL01/NN1734WL01/NP1734WL01,4.2 out of 5 stars,456,£45.55,£56.95,(20% off)
boAt,"boAt Wave Call 2 with 1.83” HD Display, Advanced BT Calling, Functional Crown, Cloud & Custom Watch Faces, Multiple Sports Modes, IP67, HR, Sleep & SPO₂ Monitor Smart Watch(Midnight Black)",4.2 out of 5 stars,127,£13.29,£66.49,(80% off)
TIMEX,Brass Men's Round Blue Dial Brown Strap Analog Watch - TW000U913,4.3 out of 5 stars,674,£38.90,na,na
Fastrack,Tripster Analog Black Dial Men's Watch 3245NM01/NN3245NM01,4.0 out of 5 stars,145,£22.75,£28.45,(20% off)
Casio,Youth-Combination Analog-Digital Gold Dial Men's Watch - AEQ-110BW-9AVDF (AD206),4.4 out of 5 stars,"1,497",£41.75,na,na
Sonata,Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,4.2 out of 5 stars,"2,052",£8.07,na,na
Fire-Boltt,"Fire-Boltt Rise Smart Watch, 1.85"" HD Display, Metal Body with Bluetooth Calling, Rotating Crown, AI Voice Assistant, 120 Sports Modes, Neon UI, SpO2 & Heart Rate Monitoring (Black-C)",3.7 out of 5 stars,"1,764",£12.34,£142.49,(91% off)
Titan,Neo Splash Quartz Multifunction Black Dial Metallic Brown Stainless Steel Strap Watch for Men - NT1805QM04,4.0 out of 5 stars,169,£59.23,£74.05,(20% off)
Titan,"Titan Crest 1.43” AMOLED Smart Watch with BT Calling, AI Morning Briefs, Functional Crown, Health Tracking, Aluminium Body, 100+ Sports Modes, Smartwatch for Men and Women - Black Silicone Strap",3.7 out of 5 stars,"1,234",£56.98,£113.95,(50% off)
Noise,"NoiseFit Halo 1.43"" AMOLED Display, Bluetooth Calling Round Dial Smart Watch, Premium Metallic Build, Always on Display, Smart Gesture Control, 100 Sports Modes (Vintage Brown)",4.0 out of 5 stars,"8,347",£28.49,£75.99,(63% off)
Titan,Titan Neo Analog Black Dial Men's Watch NM1733KM01/NN1733KM01,4.3 out of 5 stars,880,£48.59,£54.58,(11% off)
Titan,Analog Men's Watch (Dial Colored Strap),4.1 out of 5 stars,737,£24.18,£35.58,(32% off)
Fastrack,Men Tick Tock Quartz Analog White Dial Leather Strap Watch for Guys-3287KL02/NT3287KL02,4.4 out of 5 stars,6,£27.31,£34.15,(20% off)
Titan,analog Silver Dial Men's Watch NM1712YM01/NN1712YM01/NP1712YM01,4.2 out of 5 stars,404,£15.15,£18.95,(20% off)
Titan,Octane Analog Silver Dial Men's Watch-NL1650BM03/NP1650BM03,4.2 out of 5 stars,"1,288",£28.21,£35.29,(20% off)
Fastrack,Men Tick Tock Quartz Analog White Dial Leather Strap Watch for Guys-3287KL02/NT3287KL02,4.4 out of 5 stars,6,£27.31,£34.15,(20% off)
Noise,"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Jet Black)",3.8 out of 5 stars,814,£13.29,£47.49,(72% off)
Sonata,SF Digital Dial Plastic Strap Watch for Men-NS77073PP02/NT77073PP02,4.3 out of 5 stars,"1,567",£6.60,na,na
Giordano,"Multi-Function Analog Watch for Men with Textured Dial, Classic Stainless Steel Strap and Date Function",3.7 out of 5 stars,6,£46.57,£108.30,(57% off)
Casio,Youth Series Digital Black Dial Men AE-1500WH-8BVDF (D219),4.5 out of 5 stars,605,£23.70,na,na
Titan,Analog Gold Dial Men's Watch NM1650YM04/NN1650YM04/NP1650YM04,4.3 out of 5 stars,"1,612",£24.05,£30.07,(20% off)
Fossil,Fossil Analog Black Dial Men's Watch - FS5447,4.0 out of 5 stars,"4,154",£75.95,£94.95,(20% off)
